District,Gross District Domestic Product (GDDP) at current prices (in Lakh Rs.),Gross District Domestic Product (GDDP) at constant prices (Rs. Lakh),Net District Domestic Product (NDDP) at current prices (Rs. Lakh),Net District Domestic Product (NDDP) at constant prices (Rs. Lakh),Per Capita Income (NDDP at current prices) (in Rs.),Per Capita Income (NDDP at constant prices) (in Rs.)
Bagalkote,3962658,2780240,3538919,2443926,173080,119526
Bengaluru Urban,59629019,42474894,56386342,39848837,541638,382781
Bengaluru Rural,2462358,1787167,2198854,1573375,205086,146748
Belagavi,6894338,4719045,6025322,4025179,116510,77834
Ballari,5228290,3817399,4604875,3312080,173529,124812
Bidar,2346165,1642866,2059494,1410362,111750,76528
Vijayapura,3103802,2212987,2684607,1869510,113956,79357
Chamarajanagar,1872670,1327830,1644803,1145319,148921,103698
Chickballapur,2054320,1484957,1798216,1277198,132417,94050
Chikkamagaluru,3883038,2766196,3493132,2456628,283705,199523
Chitradurga,2691978,1784384,2344447,1508450,130573,84013
Dakshina Kannada,9235930,6906996,8405607,6230893,371771,275586
Davangere,3054489,2026919,2676341,1730376,127143,82203
Dharwad,3945294,2823430,3553199,2504634,177798,125329
Gadag,1784222,1262056,1570908,1090414,136382,94667
Kalaburagi,3223436,2299987,2789097,1945536,100446,70066
Hassan,3702951,2682509,3300140,2354791,171699,122514
Haveri,2284893,1611772,2001436,1381729,115780,79931
Kodagu,1284099,951075,1140459,826768,190083,137799
Kolar,2713088,1946397,2362437,1662092,142114,99984
Koppal,1906396,1324652,1667580,1132081,110886,75278
Mandya,3973339,2882356,3555988,2543770,182003,130195
Mysuru,5662917,3975613,5024907,3458738,154748,106516
Raichur,2779734,1970321,2428973,1684886,116389,80735
Ramnagara,2569290,1832540,2282052,1601906,194815,136752
Shivamogga,4564263,3112885,4084186,2735150,215360,144225
Tumakuru,6045184,4313626,5336901,3745218,184119,129207
Udupi,4155095,3058607,3790114,2762599,297524,216864
Uttara Kannada,2893321,2020751,2567948,1758629,165142,113096
Yadagiri,1639074,1182447,1434915,1014580,112937,79854
KARNATAKA,161545653,114982904,146752198,103035654,222002,155869
